@relation C__Users_kartheek_Desktop_project2

@attribute text string
@attribute @@class@@ {neg,pos}

@data
'freakin superb finally resurrecting crustydusty blogs time means completed www eternalcamp com soon alright hospital fine spleen anyways apparently bled internally half gallon gory details read typing wife hospital ruptured spleen observation weeks time return posting blogs apologizes delay thank experiments greetings add post benefit home selflearners add previous post learn bit bowed instrum strings hello little late evening post visit hospital account mangled cartilage amongst ribs story cool worries post experim percussion remember chromatic drums mentioned couplefew posts ago instruments ll posts chromatic drums post ',neg
'wondered copyright songs songwriter chances variables enter registering copyright bit overwhelming hopefully article shed article browsing guitar sites stumbled article httpwww com thinking buying guitar look fo stairway heaven song learn started playing guitar song define guitarist peers stairway heaven written robert plant jimmy page eric clapton wrote ago timeless familiar songs people love hear provides comfort healing times hard found playing song ove looking quick transpose guitar chords capo nifty little gadgets change keys changing chord shapes using play song capos using metronome conjure memories past piano lessons experience unpleasant developed negetive ideas result help dispel mi ',neg
'songs sins redemption molenes independent release purity roots americana dirty lovingly hints feedback splashes political anger huge gulps driving rock roll tracks heart anchors dune tran independent release movie beach dawn film sped sun thrown darkness sky waves crashing senseless lonely movie track tender collec nbt head honcho martin smit flu week yes summer flu heat wave wonderful reviews tag adriana command william elliot takes reigns nick daugherty movin nick daugherty bqep bloodsugars engineroom recordings song glides focus shivery buildup pow popmanangel floats swoops grabs fly dance cool indie heaven wicked angel sings quiet space color sunshine lawrence blatt lmb music instruments played played produced collection grammy award winner windham hill founder william ackerman happens technical found barbara gilles favoriti quartet barbara gilles favoriti quartet independent release review quest capture essence music wait till sky grows stormy light strangely refrac ',neg
'lp released rolling stones label musicians include legendary reggae rhythm section sly amp robbie excellent background vocals track single gotta walk don look smokey robinso red love time dream falling love lovered garland pianoblue mitchell adams baritone saxophonesam jones bassphilly joe jones drum ping pong roots herbs sliders united look birdie master mind blakey drumswalter davis jr piano tracks merritt double basslee mor blakey multiple african drummers composers african beat prayer ife ayo happiness love obirin african woman africa love mystery ero ti nr ojeje ayiko san francisco third album epic label songs composed sly sylvester stewart dynamite chicken plastic jim fun own harmony life released impulse label songs originals jarrett keith jarrett piano flute redman tenor saxophone musette haden basspaul motian drums franco inflight ',neg
'track tente impedir dunderarium cavalgada flashback de ns dois pode ir embora sou eu onde voc est te amo tanto tanto cara duas vezes voc quem bebo quem bo amor vai faixas donos cano ao mundo os baita ginete de poncho resto de bailebugio da novobugio dos nossa pecador agita acidente de bebo pra cara galera mulher que amor que bicho que saudade ficando com uma notcia pra te downloa estao de som baileirot ficando com tch os grupo bailaosinto falta de minuanode latinha na mate queentet ro este um dvd gravado de um baile em os mirins naquele tempo com sua antiga formao toca um bailo com suas melhores musicas lembrado que este um arquivo exclusivo sul velharia gachaas faixas muitas por isso saudade da querncia al meu pai al minha saudando pago cartinha ',neg
'click larger image please talk music distro royalties marketing blogging managing money rad stuff re pretty badass crew hangin mark schoneveld yvynyl jt ramsay bmi gold blue print mates days song sing sleep listen wakingand throw listens throughout day measure haven hey philly folks couple months bunches whatcha elephant sea rabbitsjb walljb meet lady gagalady gaga feat colby odonis amp akon danceby love christina jazzy hottttt kinda dig loves boris yeltsin ll admit hopped proverbial bandwagon late temporarily refused listen band dumb name ok line bad re actually pret impression phantom planet hiding extinct re album called raise dead fueled ramen hearing couple tracks recently seriously considering picking check th ',neg
'rockabilly discography country style rcs hard labor love terry gordon started growing terry rockabilly discography concentrates elvis und michael jackson haben zwei dinge gemeinsam erstens ihr frher krperlicher und psychischer zerfall berschattet ihre grossen leistungen zweitens um beide ranken sich die der tage exminer com david sadof takes look guitarists played michael jackson records wall jackson jazz influenced guitarists larry carlton phil upchurch collaborated rock rene hall founders roll rhythm blues name worry name insiders playing canadianrock bandthe record hit single former meat packing plant los angeles psychedelic song lydia purple result glenn miller played electric bass sang background ',neg
'trip gerry died night telephone calls dreams prayers managed talk inmersed pride sadnessi told leave tim time seeing hands time constructing destroying composing listen walk obsession maker sought inexistence time despite searching forcing rid inferno rest appreciate rest define rest bar artists writers scene intellectual sensual orgies compose play concert pianos woodwindsand percussion firstpart cycle dance oblivion cycle cycle begin crowd waiting era soon disappear windmill gone wind victor hugoles misrables sea night trees standing solitude stand death glowworm shadow silent eternity feel course universe vicente gerbasi los colores ocultos tend believ ',neg
'question dictionary com word tudung meansnouna scarf worn head muslim women malaysia conceals hair exact tudung worn muslim women world onl stuck hours re complaining wished days weeks months decades whatever scary mention reducing market value hahagotta feeling increasingly frustrated thanks gazillion formulas remember exam nearly snapped friend busy chatting feel neck muscles tensing warmth anger radiating battles meant fought wars meant won skirmishes parcel everyday life everyday engage listed comes surprise times fight help scout bet guys didn scouts didn ya hahaha nearly scouting realised deep promise am stronger am faster am am emotionally stable am smarter am friendlier am wiser am sensitive am independent am jacket smells ',neg
'july pm academy coming texas masters inspired world worlds premiere institution education study june pm night featuring art live local music delicious keg beer folk saturday evening june kicks whenever close downtown june pm saturday june copa doors starts layin cut features fashion designers djs collage artists dance troupes guaranteed bootay shakin visually stimulatin june pm fellas dojo moving funky sqft space st shifting operations sq ft warehouse space monroe south spirit comme june pm gadjo disko saturday june eastern bloc party throwdown ethnotechno diskoteka dance party spangled attendees rumpshakin dj chicken kiev bevy acts including june pm front line austin live funk soul hip hop movement afrofreque teams dj whutnot special lambert saturday june lambert located st downtown ',neg
